sent_id	n	tokens_used	add1_log10P	add1_perplexity	addK_log10P	addK_perplexity	token_type_sum
24	4	24	-71.287506	933.9266	-71.497085	952.8953	126.00
25	2	28	-83.133181	931.1983	-83.376579	950.0248	129.00
25	3	28	-83.098676	928.5597	-83.308254	944.7019	129.00
25	4	28	-83.098676	928.5597	-83.308254	944.7019	129.00
26	2	28	-83.118307	930.0600	-83.347095	947.7242	140.00
26	3	28	-83.098676	928.5597	-83.308254	944.7019	140.00
26	4	28	-83.098676	928.5597	-83.308254	944.7019	140.00
27	2	27	-80.169843	931.6514	-80.402901	950.3536	140.00
27	3	27	-80.145883	929.7497	-80.355462	946.5166	140.00
27	4	27	-80.145883	929.7497	-80.355462	946.5166	140.00
28	2	29	-85.804030	909.4098	-85.889883	915.6302	149.00
28	3	29	-86.051952	927.4888	-86.262014	943.0880	148.00
28	4	29	-86.051468	927.4532	-86.261047	943.0156	148.00
29	2	26	-77.236603	934.6275	-77.488640	955.7236	132.00
29	3	26	-77.193091	931.0329	-77.402670	948.4747	132.00
29	4	26	-77.193091	931.0329	-77.402670	948.4747	132.00
30	2	28	-82.825395	907.9247	-82.885991	912.4602	135.00
30	3	28	-83.099160	928.5967	-83.309222	944.7771	134.00
30	4	28	-83.098676	928.5597	-83.308254	944.7019	134.00
31	2	29	-85.803065	909.3402	-85.887961	915.4905	136.00
31	3	29	-86.051952	927.4888	-86.262014	943.0880	135.00
31	4	29	-86.051468	927.4532	-86.261047	943.0156	135.00
32	2	26	-77.211757	932.5733	-77.439586	951.5807	133.00
32	3	26	-77.193091	931.0329	-77.402670	948.4747	133.00
32	4	26	-77.193091	931.0329	-77.402670	948.4747	133.00
33	2	25	-74.260893	934.1911	-74.490633	954.1690	128.00
33	3	25	-74.240299	932.4208	-74.449877	950.5940	128.00
33	4	25	-74.240299	932.4208	-74.449877	950.5940	128.00
34	2	29	-85.780121	907.6851	-85.842643	912.2023	140.00
34	3	29	-86.051952	927.4888	-86.262014	943.0880	139.00
34	4	29	-86.051468	927.4532	-86.261047	943.0156	139.00
35	2	27	-80.180872	932.5281	-80.424753	952.1263	118.00
35	3	27	-80.145883	929.7497	-80.355462	946.5166	118.00
35	4	27	-80.145883	929.7497	-80.355462	946.5166	118.00
36	2	25	-73.959865	908.6457	-74.013520	913.1472	133.00
36	3	25	-73.939752	906.9641	-73.973723	909.8063	133.00
36	4	25	-73.939752	906.9641	-73.973723	909.8063	133.00
37	2	28	-83.130287	930.9767	-83.370811	949.5744	127.00
37	3	28	-83.098676	928.5597	-83.308254	944.7019	127.00
37	4	28	-83.098676	928.5597	-83.308254	944.7019	127.00
38	2	25	-74.269895	934.9660	-74.508260	955.7194	111.00
38	3	25	-74.240299	932.4208	-74.449877	950.5940	111.00
38	4	25	-74.240299	932.4208	-74.449877	950.5940	111.00
39	2	27	-80.163098	931.1157	-80.389479	949.2664	130.00
39	3	27	-80.145883	929.7497	-80.355462	946.5166	130.00
39	4	27	-80.145883	929.7497	-80.355462	946.5166	130.00
40	2	25	-74.257030	933.8587	-74.482927	953.4920	116.00
40	3	25	-74.240299	932.4208	-74.449877	950.5940	116.00
40	4	25	-74.240299	932.4208	-74.449877	950.5940	116.00
41	2	25	-74.268048	934.8069	-74.504735	955.4091	114.00
41	3	25	-74.240299	932.4208	-74.449877	950.5940	114.00
41	4	25	-74.240299	932.4208	-74.449877	950.5940	114.00
42	2	25	-74.258965	934.0252	-74.486794	953.8317	128.00
42	3	25	-74.240299	932.4208	-74.449877	950.5940	128.00
42	4	25	-74.240299	932.4208	-74.449877	950.5940	128.00
43	2	28	-82.845501	909.4271	-82.925760	915.4493	127.00
43	3	28	-83.099160	928.5967	-83.309222	944.7771	126.00
43	4	28	-83.098676	928.5597	-83.308254	944.7019	126.00
44	2	28	-83.117826	930.0232	-83.346138	947.6496	139.00
44	3	28	-83.098676	928.5597	-83.308254	944.7019	139.00
44	4	28	-83.098676	928.5597	-83.308254	944.7019	139.00
45	2	27	-80.183204	932.7136	-80.429248	952.4914	134.00
45	3	27	-80.145883	929.7497	-80.355462	946.5166	134.00
45	4	27	-80.145883	929.7497	-80.355462	946.5166	134.00
46	2	29	-85.803546	909.3749	-85.888916	915.5599	142.00
46	3	29	-86.051952	927.4888	-86.262014	943.0880	141.00
46	4	29	-86.051468	927.4532	-86.261047	943.0156	141.00
47	2	28	-82.844056	909.3190	-82.922886	915.2329	128.00
47	3	28	-83.099160	928.5967	-83.309222	944.7771	127.00
47	4	28	-83.098676	928.5597	-83.308254	944.7019	127.00
48	2	27	-80.173237	931.9211	-80.409699	950.9047	116.00
48	3	27	-80.145883	929.7497	-80.355462	946.5166	116.00
48	4	27	-80.145883	929.7497	-80.355462	946.5166	116.00
49	2	26	-76.935577	910.0403	-77.011534	916.1827	134.00
49	3	26	-77.193575	931.0728	-77.403637	948.5560	133.00
49	4	26	-77.193091	931.0329	-77.402670	948.4747	133.00
50	2	24	-71.015193	909.8428	-71.076753	915.2324	133.00
50	3	24	-71.287990	933.9700	-71.498052	952.9838	132.00
50	4	24	-71.287506	933.9266	-71.497085	952.8953	132.00
51	2	28	-83.125061	930.5767	-83.360555	948.7738	135.00
51	3	28	-83.098676	928.5597	-83.308254	944.7019	135.00
51	4	28	-83.098676	928.5597	-83.308254	944.7019	135.00
52	2	30	-89.034907	928.6034	-89.274477	945.8361	146.00
52	3	30	-89.004261	926.4216	-89.213839	941.4443	146.00
52	4	30	-89.004261	926.4216	-89.213839	941.4443	146.00
53	2	25	-73.968950	909.4064	-74.031469	914.6581	134.00
53	3	25	-74.240782	932.4623	-74.450844	950.6787	133.00
53	4	25	-74.240299	932.4208	-74.449877	950.5940	133.00
54	2	27	-79.875982	908.5936	-79.939937	913.5628	129.00
54	3	27	-80.146367	929.7881	-80.356429	946.5946	128.00
54	4	27	-80.145883	929.7497	-80.355462	946.5166	128.00
55	2	26	-77.210790	932.4934	-77.437654	951.4179	122.00
55	3	26	-77.193091	931.0329	-77.402670	948.4747	122.00
55	4	26	-77.193091	931.0329	-77.402670	948.4747	122.00
56	2	30	-88.743956	908.0962	-88.817340	913.2254	137.00
56	3	30	-89.004745	926.4560	-89.214807	941.5142	136.00
56	4	30	-89.004261	926.4216	-89.213839	941.4443	136.00
57	2	27	-80.180312	932.4836	-80.423492	952.0239	133.00
57	3	27	-80.145883	929.7497	-80.355462	946.5166	133.00
57	4	27	-80.145883	929.7497	-80.355462	946.5166	133.00
58	2	28	-82.838369	908.8939	-82.911747	914.3949	143.00
58	3	28	-83.099160	928.5967	-83.309222	944.7771	142.00
58	4	28	-83.098676	928.5597	-83.308254	944.7019	142.00
59	2	26	-77.214169	932.7725	-77.444390	951.9856	123.00
59	3	26	-77.193091	931.0329	-77.402670	948.4747	123.00
59	4	26	-77.193091	931.0329	-77.402670	948.4747	123.00
60	2	28	-83.133181	931.1983	-83.376581	950.0250	131.00
60	3	28	-83.098676	928.5597	-83.308254	944.7019	131.00
60	4	28	-83.098676	928.5597	-83.308254	944.7019	131.00
61	2	25	-74.264258	934.4807	-74.497316	954.7566	127.00
61	3	25	-74.240299	932.4208	-74.449877	950.5940	127.00
61	4	25	-74.240299	932.4208	-74.449877	950.5940	127.00
62	2	25	-73.968466	909.3659	-74.030502	914.5766	131.00
62	3	25	-74.240782	932.4623	-74.450844	950.6787	130.00
62	4	25	-74.240299	932.4208	-74.449877	950.5940	130.00
63	2	28	-82.835550	908.6832	-82.906273	913.9835	144.00
63	3	28	-83.099160	928.5967	-83.309222	944.7771	143.00
63	4	28	-83.098676	928.5597	-83.308254	944.7019	143.00
64	2	26	-77.210306	932.4534	-77.436687	951.3364	113.00
64	3	26	-77.193091	931.0329	-77.402670	948.4747	113.00
64	4	26	-77.193091	931.0329	-77.402670	948.4747	113.00
65	2	25	-74.274244	935.3406	-74.516942	956.4839	126.00
65	3	25	-74.240299	932.4208	-74.449877	950.5940	126.00
65	4	25	-74.240299	932.4208	-74.449877	950.5940	126.00
66	2	28	-83.126909	930.7181	-83.364079	949.0488	135.00
66	3	28	-83.098676	928.5597	-83.308254	944.7019	135.00
66	4	28	-83.098676	928.5597	-83.308254	944.7019	135.00
67	2	27	-80.193254	933.5133	-80.449121	954.1070	122.00
67	3	27	-80.145883	929.7497	-80.355462	946.5166	122.00
67	4	27	-80.145883	929.7497	-80.355462	946.5166	122.00
68	2	32	-94.945241	926.9126	-95.189384	943.3400	159.00
68	3	32	-94.909846	924.5548	-95.119424	938.6031	159.00
68	4	32	-94.909846	924.5548	-95.119424	938.6031	159.00
69	2	29	-85.799765	909.1019	-85.881530	915.0231	131.00
69	3	29	-86.051952	927.4888	-86.262014	943.0880	130.00
69	4	29	-86.051468	927.4532	-86.261047	943.0156	130.00
70	2	25	-74.267564	934.7652	-74.503767	955.3240	122.00
70	3	25	-74.240299	932.4208	-74.449877	950.5940	122.00
70	4	25	-74.240299	932.4208	-74.449877	950.5940	122.00
71	2	28	-83.123131	930.4290	-83.356708	948.4736	132.00
71	3	28	-83.098676	928.5597	-83.308254	944.7019	132.00
71	4	28	-83.098676	928.5597	-83.308254	944.7019	132.00
72	2	24	-71.317587	936.6258	-71.556435	958.3367	115.00
72	3	24	-71.287506	933.9266	-71.497085	952.8953	115.00
72	4	24	-71.287506	933.9266	-71.497085	952.8953	115.00
73	2	26	-77.220928	933.3310	-77.457872	953.1229	131.00
73	3	26	-77.193091	931.0329	-77.402670	948.4747	131.00
73	4	26	-77.193091	931.0329	-77.402670	948.4747	131.00
74	2	28	-82.835957	908.7136	-82.906940	914.0336	136.00
74	3	28	-83.099160	928.5967	-83.309222	944.7771	135.00
74	4	28	-83.098676	928.5597	-83.308254	944.7019	135.00
75	2	30	-88.731948	907.2596	-88.793510	911.5567	150.00
75	3	30	-89.004745	926.4560	-89.214807	941.5142	149.00
75	4	30	-89.004261	926.4216	-89.213839	941.4443	149.00
76	2	28	-82.831194	908.3577	-82.897565	913.3292	126.00
76	3	28	-83.099160	928.5967	-83.309222	944.7771	125.00
76	4	28	-83.098676	928.5597	-83.308254	944.7019	125.00
77	2	29	-86.083563	929.8197	-86.324573	947.7841	145.00
77	3	29	-86.051468	927.4532	-86.261047	943.0156	145.00
77	4	29	-86.051468	927.4532	-86.261047	943.0156	145.00
78	2	27	-80.186096	932.9437	-80.435005	952.9591	129.00
78	3	27	-80.145883	929.7497	-80.355462	946.5166	129.00
78	4	27	-80.145883	929.7497	-80.355462	946.5166	129.00
79	2	28	-83.126908	930.7181	-83.364075	949.0485	132.00
79	3	28	-83.098676	928.5597	-83.308254	944.7019	132.00
79	4	28	-83.098676	928.5597	-83.308254	944.7019	132.00
80	2	27	-80.165998	931.3460	-80.395268	949.7351	127.00
80	3	27	-80.145883	929.7497	-80.355462	946.5166	127.00
80	4	27	-80.145883	929.7497	-80.355462	946.5166	127.00
81	2	27	-80.166480	931.3842	-80.396226	949.8128	139.00
81	3	27	-80.145883	929.7497	-80.355462	946.5166	139.00
81	4	27	-80.145883	929.7497	-80.355462	946.5166	139.00
82	2	30	-88.744921	908.1635	-88.819264	913.3603	137.00
82	3	30	-89.004745	926.4560	-89.214807	941.5142	136.00
82	4	30	-89.004261	926.4216	-89.213839	941.4443	136.00
83	2	27	-80.177013	932.2213	-80.417064	951.5022	134.00
83	3	27	-80.145883	929.7497	-80.355462	946.5166	134.00
83	4	27	-80.145883	929.7497	-80.355462	946.5166	134.00
84	2	28	-83.119756	930.1708	-83.349986	947.9495	142.00
84	3	28	-83.098676	928.5597	-83.308254	944.7019	142.00
84	4	28	-83.098676	928.5597	-83.308254	944.7019	142.00
85	2	27	-79.886063	909.3751	-79.959930	915.1218	143.00
85	3	27	-80.146367	929.7881	-80.356429	946.5946	142.00
85	4	27	-80.145883	929.7497	-80.355462	946.5166	142.00
86	2	26	-77.215132	932.8520	-77.446306	952.1471	130.00
86	3	26	-77.193091	931.0329	-77.402670	948.4747	130.00
86	4	26	-77.193091	931.0329	-77.402670	948.4747	130.00
87	2	29	-85.795477	908.7925	-85.873090	914.4102	133.00
87	3	29	-86.051952	927.4888	-86.262014	943.0880	132.00
87	4	29	-86.051468	927.4532	-86.261047	943.0156	132.00
88	2	25	-73.969349	909.4398	-74.032106	914.7117	110.00
88	3	25	-73.939752	906.9641	-73.973723	909.8063	110.00
88	4	25	-73.939752	906.9641	-73.973723	909.8063	110.00
89	2	26	-76.929860	909.5797	-77.000277	915.2697	131.00
89	3	26	-77.193575	931.0728	-77.403637	948.5560	130.00
89	4	26	-77.193091	931.0329	-77.402670	948.4747	130.00
90	2	27	-80.167447	931.4611	-80.398159	949.9693	143.00
90	3	27	-80.145883	929.7497	-80.355462	946.5166	143.00
90	4	27	-80.145883	929.7497	-80.355462	946.5166	143.00
91	2	31	-91.975236	926.7084	-92.202583	942.4903	154.00
91	3	31	-91.957053	925.4577	-92.166632	939.9768	154.00
91	4	31	-91.957053	925.4577	-92.166632	939.9768	154.00
92	2	30	-89.046806	929.4518	-89.297878	947.5364	143.00
92	3	30	-89.004261	926.4216	-89.213839	941.4443	143.00
92	4	30	-89.004261	926.4216	-89.213839	941.4443	143.00
93	2	26	-77.223741	933.5635	-77.463320	953.5829	129.00
93	3	26	-77.193091	931.0329	-77.402670	948.4747	129.00
93	4	26	-77.193091	931.0329	-77.402670	948.4747	129.00
94	2	26	-76.922736	909.0060	-76.986297	914.1373	136.00
94	3	26	-77.193575	931.0728	-77.403637	948.5560	135.00
94	4	26	-77.193091	931.0329	-77.402670	948.4747	135.00
95	2	25	-74.258478	933.9833	-74.485816	953.7458	123.00
95	3	25	-74.240299	932.4208	-74.449877	950.5940	123.00
95	4	25	-74.240299	932.4208	-74.449877	950.5940	123.00
96	2	25	-74.257513	933.9003	-74.483892	953.5768	116.00
96	3	25	-74.240299	932.4208	-74.449877	950.5940	116.00
96	4	25	-74.240299	932.4208	-74.449877	950.5940	116.00
97	2	26	-77.213201	932.6926	-77.442458	951.8227	126.00
97	3	26	-77.193091	931.0329	-77.402670	948.4747	126.00
97	4	26	-77.193091	931.0329	-77.402670	948.4747	126.00
98	2	30	-89.044391	929.2796	-89.293063	947.1863	151.00
98	3	30	-89.004261	926.4216	-89.213839	941.4443	151.00
98	4	30	-89.004261	926.4216	-89.213839	941.4443	151.00
99	2	26	-77.209822	932.4135	-77.435719	951.2549	127.00
99	3	26	-77.193091	931.0329	-77.402670	948.4747	127.00
99	4	26	-77.193091	931.0329	-77.402670	948.4747	127.00
100	2	33	-97.907121	926.5790	-98.160135	943.0822	160.00
100	3	33	-97.862638	923.7075	-98.072217	937.3145	160.00
100	4	33	-97.862638	923.7075	-98.072217	937.3145	160.00
101	2	25	-74.279945	935.8318	-74.528133	957.4703	119.00
101	3	25	-74.240299	932.4208	-74.449877	950.5940	119.00
101	4	25	-74.240299	932.4208	-74.449877	950.5940	119.00
102	2	28	-83.129807	930.9400	-83.369861	949.5002	137.00
102	3	28	-83.098676	928.5597	-83.308254	944.7019	137.00
102	4	28	-83.098676	928.5597	-83.308254	944.7019	137.00
103	2	28	-83.125457	930.6070	-83.361177	948.8223	128.00
103	3	28	-83.098676	928.5597	-83.308254	944.7019	128.00
103	4	28	-83.098676	928.5597	-83.308254	944.7019	128.00
104	2	26	-77.227596	933.8824	-77.470996	954.2314	130.00
104	3	26	-77.193091	931.0329	-77.402670	948.4747	130.00
104	4	26	-77.193091	931.0329	-77.402670	948.4747	130.00
105	2	29	-85.491583	887.1266	-85.390317	880.0223	147.00
105	3	29	-86.052436	927.5245	-86.262981	943.1604	145.00
105	4	29	-86.051468	927.4532	-86.261047	943.0156	145.00
106	2	26	-76.925120	909.1979	-76.990992	914.5175	137.00
106	3	26	-77.193575	931.0728	-77.403637	948.5560	136.00
106	4	26	-77.193091	931.0329	-77.402670	948.4747	136.00
107	2	28	-83.116375	929.9122	-83.343239	947.4237	143.00
107	3	28	-83.098676	928.5597	-83.308254	944.7019	143.00
107	4	28	-83.098676	928.5597	-83.308254	944.7019	143.00
108	2	27	-79.864004	907.6660	-79.916225	911.7172	126.00
108	3	27	-79.845337	906.2222	-79.879308	908.8514	126.00
108	4	27	-79.845337	906.2222	-79.879308	908.8514	126.00
109	2	24	-71.315736	936.4595	-71.552896	958.0114	114.00
109	3	24	-71.287506	933.9266	-71.497085	952.8953	114.00
109	4	24	-71.287506	933.9266	-71.497085	952.8953	114.00
110	2	28	-82.826363	907.9969	-82.887925	912.6054	147.00
110	3	28	-83.099160	928.5967	-83.309222	944.7771	146.00
110	4	28	-83.098676	928.5597	-83.308254	944.7019	146.00
111	2	24	-71.317103	936.5823	-71.555468	958.2478	123.00
111	3	24	-71.287506	933.9266	-71.497085	952.8953	123.00
111	4	24	-71.287506	933.9266	-71.497085	952.8953	123.00
112	2	26	-77.218995	933.1712	-77.454012	952.7971	124.00
112	3	26	-77.193091	931.0329	-77.402670	948.4747	124.00
112	4	26	-77.193091	931.0329	-77.402670	948.4747	124.00
113	2	29	-86.085978	929.9979	-86.329388	948.1465	135.00
113	3	29	-86.051468	927.4532	-86.261047	943.0156	135.00
113	4	29	-86.051468	927.4532	-86.261047	943.0156	135.00
114	2	24	-71.306170	935.6004	-71.533991	956.2753	127.00
114	3	24	-71.287506	933.9266	-71.497085	952.8953	127.00
114	4	24	-71.287506	933.9266	-71.497085	952.8953	127.00
115	2	26	-77.210789	932.4934	-77.437652	951.4177	133.00
115	3	26	-77.193091	931.0329	-77.402670	948.4747	133.00
115	4	26	-77.193091	931.0329	-77.402670	948.4747	133.00
116	2	27	-80.184166	932.7901	-80.431158	952.6465	142.00
116	3	27	-80.145883	929.7497	-80.355462	946.5166	142.00
116	4	27	-80.145883	929.7497	-80.355462	946.5166	142.00
117	2	24	-71.306651	935.6436	-71.534949	956.3633	117.00
117	3	24	-71.287506	933.9266	-71.497085	952.8953	117.00
117	4	24	-71.287506	933.9266	-71.497085	952.8953	117.00
118	2	29	-86.070135	928.8288	-86.297964	945.7837	134.00
118	3	29	-86.051468	927.4532	-86.261047	943.0156	134.00
118	4	29	-86.051468	927.4532	-86.261047	943.0156	134.00
119	2	29	-85.510636	888.4697	-85.427820	882.6467	148.00
119	3	29	-86.052436	927.5245	-86.262981	943.1604	146.00
119	4	29	-86.051468	927.4532	-86.261047	943.0156	146.00
120	2	29	-86.069167	928.7575	-86.296031	945.6386	142.00
120	3	29	-86.051468	927.4532	-86.261047	943.0156	142.00
120	4	29	-86.051468	927.4532	-86.261047	943.0156	142.00
121	2	29	-85.795428	908.7889	-85.872899	914.3962	142.00
121	3	29	-86.051952	927.4888	-86.262014	943.0880	141.00
121	4	29	-86.051468	927.4532	-86.261047	943.0156	141.00
122	2	27	-79.593634	886.9770	-79.499791	879.9068	143.00
122	3	27	-80.146851	929.8265	-80.357396	946.6727	141.00
122	4	27	-80.145883	929.7497	-80.355462	946.5166	141.00
123	2	25	-74.267080	934.7236	-74.502800	955.2389	116.00
123	3	25	-74.240299	932.4208	-74.449877	950.5940	116.00
123	4	25	-74.240299	932.4208	-74.449877	950.5940	116.00
124	2	27	-80.175565	932.1061	-80.414176	951.2678	129.00
124	3	27	-80.145883	929.7497	-80.355462	946.5166	129.00
124	4	27	-80.145883	929.7497	-80.355462	946.5166	129.00
125	2	29	-86.086466	930.0340	-86.330372	948.2206	138.00
125	3	29	-86.051468	927.4532	-86.261047	943.0156	138.00
125	4	29	-86.051468	927.4532	-86.261047	943.0156	138.00
126	2	26	-77.221324	933.3637	-77.458492	953.1753	133.00
126	3	26	-77.193091	931.0329	-77.402670	948.4747	133.00
126	4	26	-77.193091	931.0329	-77.402670	948.4747	133.00
127	2	26	-77.222688	933.4765	-77.461053	953.3914	129.00
127	3	26	-77.193091	931.0329	-77.402670	948.4747	129.00
127	4	26	-77.193091	931.0329	-77.402670	948.4747	129.00
128	2	26	-77.210306	932.4534	-77.436687	951.3364	118.00
128	3	26	-77.193091	931.0329	-77.402670	948.4747	118.00
128	4	26	-77.193091	931.0329	-77.402670	948.4747	118.00
129	2	26	-76.929860	909.5797	-77.000277	915.2697	130.00
129	3	26	-77.193575	931.0728	-77.403637	948.5560	129.00
129	4	26	-77.193091	931.0329	-77.402670	948.4747	129.00
130	2	28	-82.836489	908.7533	-82.908094	914.1203	136.00
130	3	28	-83.099160	928.5967	-83.309222	944.7771	135.00
130	4	28	-83.098676	928.5597	-83.308254	944.7019	135.00
131	2	28	-82.824911	907.8886	-82.885023	912.3877	142.00
131	3	28	-83.099160	928.5967	-83.309222	944.7771	141.00
131	4	28	-83.098676	928.5597	-83.308254	944.7019	141.00
132	2	29	-85.792612	908.5857	-85.867434	913.9996	136.00
132	3	29	-86.051952	927.4888	-86.262014	943.0880	135.00
132	4	29	-86.051468	927.4532	-86.261047	943.0156	135.00
133	2	29	-86.080185	929.5703	-86.317837	947.2773	136.00
133	3	29	-86.051468	927.4532	-86.261047	943.0156	136.00
133	4	29	-86.051468	927.4532	-86.261047	943.0156	136.00
134	2	26	-77.222770	933.4833	-77.461372	953.4185	121.00
134	3	26	-77.193091	931.0329	-77.402670	948.4747	121.00
134	4	26	-77.193091	931.0329	-77.402670	948.4747	121.00
135	2	28	-83.119756	930.1708	-83.349986	947.9495	149.00
135	3	28	-83.098676	928.5597	-83.308254	944.7019	149.00
135	4	28	-83.098676	928.5597	-83.308254	944.7019	149.00
136	2	25	-74.259444	934.0664	-74.487742	953.9150	121.00
136	3	25	-74.240299	932.4208	-74.449877	950.5940	121.00
136	4	25	-74.240299	932.4208	-74.449877	950.5940	121.00
137	2	27	-80.168414	931.5379	-80.400089	950.1257	131.00
137	3	27	-80.145883	929.7497	-80.355462	946.5166	131.00
137	4	27	-80.145883	929.7497	-80.355462	946.5166	131.00
138	2	31	-91.694817	907.6059	-91.766281	912.4364	161.00
138	3	31	-91.957537	925.4909	-92.167599	940.0444	160.00
138	4	31	-91.957053	925.4577	-92.166632	939.9768	160.00
139	2	29	-85.493030	887.2285	-85.393200	880.2238	138.00
139	3	29	-86.052436	927.5245	-86.262981	943.1604	136.00
139	4	29	-86.051468	927.4532	-86.261047	943.0156	136.00
140	2	27	-80.169843	931.6514	-80.402901	950.3536	115.00
140	3	27	-80.145883	929.7497	-80.355462	946.5166	115.00
140	4	27	-80.145883	929.7497	-80.355462	946.5166	115.00
141	2	26	-77.220925	933.3307	-77.457859	953.1219	123.00
141	3	26	-77.193091	931.0329	-77.402670	948.4747	123.00
141	4	26	-77.193091	931.0329	-77.402670	948.4747	123.00
142	2	33	-97.890871	925.5290	-98.128041	940.9727	162.00
142	3	33	-97.862638	923.7075	-98.072217	937.3145	162.00
142	4	33	-97.862638	923.7075	-98.072217	937.3145	162.00
143	2	28	-82.838369	908.8939	-82.911747	914.3949	138.00
143	3	28	-83.099160	928.5967	-83.309222	944.7771	137.00
143	4	28	-83.098676	928.5597	-83.308254	944.7019	137.00
144	2	25	-74.262343	934.3159	-74.493530	954.4237	121.00
144	3	25	-74.240299	932.4208	-74.449877	950.5940	121.00
144	4	25	-74.240299	932.4208	-74.449877	950.5940	121.00
145	2	24	-71.305205	935.5138	-71.532069	956.0990	119.00
145	3	24	-71.287506	933.9266	-71.497085	952.8953	119.00
