w1	w2	count	gt_prob
Assam	in	2	0.00023804
Australia	in	2	0.00023804
Australia.	In	2	0.00023804
BCCI	in	2	0.00023804
Bangladesh	and	2	0.00023804
Bangladesh	in	2	0.00023804
Bihar	U-19	2	0.00023804
Bihar	against	2	0.00023804
Champions	Trophy	2	0.00023804
Chennai.	Dhoni	2	0.00023804
Cooch	Behar	2	0.00023804
Cricket	Hall	2	0.00023804
Cricketer	of	2	0.00023804
Cup	in	2	0.00023804
Dhoni	and	2	0.00023804
Dhoni	at	2	0.00023804
Dhoni	invested	2	0.00023804
Dhoni	stepped	2	0.00023804
England	in	2	0.00023804
England.	Dhoni	2	0.00023804
Following	the	2	0.00023804
Hall	of	2	0.00023804
He	also	2	0.00023804
He	is	2	0.00023804
He	plays	2	0.00023804
However,	he	2	0.00023804
ICC	Cricket	2	0.00023804
ICC	World	2	0.00023804
IPL	franchise	2	0.00023804
In	2007,	2	0.00023804
In	August	2	0.00023804
In	December	2	0.00023804
In	February	2	0.00023804
India	finished	2	0.00023804
India	toured	2	0.00023804
Indian	and	2	0.00023804
Indian	squad	2	0.00023804
Indies	in	2	0.00023804
Khel	Ratna	2	0.00023804
League:	2010,	2	0.00023804
Lieutenant	colonel	2	0.00023804
Men's	ODI	2	0.00023804
Most	dismissals	2	0.00023804
ODI	Team	2	0.00023804
ODI	against	2	0.00023804
ODI	at	2	0.00023804
ODI	in	2	0.00023804
ODIs	and	2	0.00023804
ODIs	in	2	0.00023804
Ranchi,	Dhoni	2	0.00023804
Rohit	Sharma	2	0.00023804
Second	most	2	0.00023804
Sri	Lanka.	2	0.00023804
T20	World	2	0.00023804
T20I	innings	2	0.00023804
Third	most	2	0.00023804
Tournament'	by	2	0.00023804
Trophy	in	2	0.00023804
Trophy,	India	2	0.00023804
Under	his	2	0.00023804
World	Cup,	2	0.00023804
World	Cup:	2	0.00023804
World	Twenty20	2	0.00023804
Year:	2011	2	0.00023804
a	Tamil	2	0.00023804
a	bilateral	2	0.00023804
a	century	2	0.00023804
a	duck.	2	0.00023804
a	franchise	2	0.00023804
a	half-century	2	0.00023804
a	losing	2	0.00023804
a	record	2	0.00023804
a	right-handed	2	0.00023804
a	special	2	0.00023804
a	strike	2	0.00023804
across	the	2	0.00023804
after	defeating	2	0.00023804
against	Assam	2	0.00023804
against	Bangladesh	2	0.00023804
ahead	of	2	0.00023804
all	formats	2	0.00023804
all	time.	2	0.00023804
also	led	2	0.00023804
an	innings	2	0.00023804
an	unbeaten	2	0.00023804
and	also	2	0.00023804
and	final	2	0.00023804
and	he	2	0.00023804
and	is	2	0.00023804
and	only	2	0.00023804
and	wicket-keeper	2	0.00023804
and	wicket-keeper)	2	0.00023804
announced	his	2	0.00023804
any	wicket-keeper	2	0.00023804
as	well	2	0.00023804
at	Chennai.	2	0.00023804
auction	for	2	0.00023804
award	Padma	2	0.00023804
awarded	an	2	0.00023804
back	to	2	0.00023804
became	a	2	0.00023804
become	a	2	0.00023804
being	the	2	0.00023804
bilateral	series	2	0.00023804
born	on	2	0.00023804
both	the	2	0.00023804
by	a	2	0.00023804
by	any	2	0.00023804
captain	in	2	0.00023804
captaincy,	CSK	2	0.00023804
captained	the	2	0.00023804
career	Dhoni	2	0.00023804
civilian	award	2	0.00023804
colonel	in	2	0.00023804
contract	by	2	0.00023804
cricket	in	2	0.00023804
cricket	on	2	0.00023804
did	not	2	0.00023804
do	so.	2	0.00023804
due	to	2	0.00023804
during	India's	2	0.00023804
during	the	2	0.00023804
earlier	record	2	0.00023804
failed	to	2	0.00023804
fifties	in	2	0.00023804
final	ODI	2	0.00023804
final	where	2	0.00023804
finished	as	2	0.00023804
first	and	2	0.00023804
first	in	2	0.00023804
first	test	2	0.00023804
first	time	2	0.00023804
first	wicket-keeper	2	0.00023804
five	ODI	2	0.00023804
for	CSK	2	0.00023804
for	India	2	0.00023804
for	scoring	2	0.00023804
formats	from	2	0.00023804
fourth	Indian	2	0.00023804
franchise	of	2	0.00023804
from	three	2	0.00023804
game	of	2	0.00023804
grade	contract	2	0.00023804
half-century	against	2	0.00023804
half-century	in	2	0.00023804
handed	over	2	0.00023804
has	also	2	0.00023804
has	earned	2	0.00023804
he	batted	2	0.00023804
he	effected	2	0.00023804
he	started	2	0.00023804
highest	civilian	2	0.00023804
him	the	2	0.00023804
his	captaincy,	2	0.00023804
his	international	2	0.00023804
his	last	2	0.00023804
his	performance	2	0.00023804
his	retirement	2	0.00023804
his	team	2	0.00023804
holds	an	2	0.00023804
in	2010	2	0.00023804
in	2011	2	0.00023804
in	2014	2	0.00023804
in	5	2	0.00023804
in	Australia.	2	0.00023804
in	February	2	0.00023804
in	India	2	0.00023804
in	South	2	0.00023804
in	both	2	0.00023804
in	limited	2	0.00023804
in	six	2	0.00023804
in	three	2	0.00023804
in	two	2	0.00023804
in	which	2	0.00023804
including	a	2	0.00023804
international	cricket.	2	0.00023804
international	matches	2	0.00023804
invested	in	2	0.00023804
is	one	2	0.00023804
known	for	2	0.00023804
life	Dhoni	2	0.00023804
losing	cause.	2	0.00023804
lost	to	2	0.00023804
made	it	2	0.00023804
match	for	2	0.00023804
matches	at	2	0.00023804
matches.	Dhoni	2	0.00023804
matches.	In	2	0.00023804
most	successful	2	0.00023804
named	in	2	0.00023804
of	Lieutenant	2	0.00023804
of	his	2	0.00023804
only	captain	2	0.00023804
out	of	2	0.00023804
over	50	2	0.00023804
part	of	2	0.00023804
played	his	2	0.00023804
played	in	2	0.00023804
player	to	2	0.00023804
playing	in	2	0.00023804
presented	to	2	0.00023804
rank	of	2	0.00023804
rate	of	2	0.00023804
represented	East	2	0.00023804
retirement	from	2	0.00023804
returned	to	2	0.00023804
runs	as	2	0.00023804
runs	with	2	0.00023804
scored	his	2	0.00023804
scored	more	2	0.00023804
season	and	2	0.00023804
season,	Dhoni	2	0.00023804
seasons	for	2	0.00023804
second	test	2	0.00023804
secure	a	2	0.00023804
series	with	2	0.00023804
series,	he	2	0.00023804
series.	Dhoni	2	0.00023804
six	innings	2	0.00023804
so.	In	2	0.00023804
stage	after	2	0.00023804
stage	match	2	0.00023804
stepped	down	2	0.00023804
team	and	2	0.00023804
team	for	2	0.00023804
team	to	2	0.00023804
test	cricket	2	0.00023804
tests	including	2	0.00023804
that	was	2	0.00023804
that	won	2	0.00023804
the	2010	2	0.00023804
the	2013	2	0.00023804
the	2016	2	0.00023804
the	2018	2	0.00023804
the	Deodhar	2	0.00023804
the	East	2	0.00023804
the	ICC.	2	0.00023804
the	India	2	0.00023804
the	Parachute	2	0.00023804
the	auction	2	0.00023804
the	ball	2	0.00023804
the	fastest	2	0.00023804
the	final.	2	0.00023804
the	inaugural	2	0.00023804
the	matches	2	0.00023804
the	quarter	2	0.00023804
the	series,	2	0.00023804
the	squad	2	0.00023804
the	wicket-keeper	2	0.00023804
third	ODI	2	0.00023804
though	Dhoni	2	0.00023804
thousand	runs	2	0.00023804
three	games	2	0.00023804
three	innings	2	0.00023804
three	matches	2	0.00023804
time	in	2	0.00023804
title	winning	2	0.00023804
to	become	2	0.00023804
to	do	2	0.00023804
to	have	2	0.00023804
to	lead	2	0.00023804
to	make	2	0.00023804
tri-nation	tournament	2	0.00023804
wanted	to	2	0.00023804
was	a	2	0.00023804
was	also	2	0.00023804
was	born	2	0.00023804
was	broken	2	0.00023804
was	part	2	0.00023804
was	presented	2	0.00023804
was	washed	2	0.00023804
well	as	2	0.00023804
went	past	2	0.00023804
when	he	2	0.00023804
where	Dhoni	2	0.00023804
where	India	2	0.00023804
wicket-keeper)	ICC	2	0.00023804
wicket-keeper.	Dhoni	2	0.00023804
winning	the	2	0.00023804
with	five	2	0.00023804
world	cup	2	0.00023804
years	and	2	0.00023804
"B"	grade	1	0.00004623
"Captain	cool".	1	0.00004623
"Dhauni".	The	1	0.00004623
"Dhoni"	emerged	1	0.00004623
