w1	count	gt_prob
home	4	0.00072483
honorary	4	0.00072483
limited	4	0.00072483
million	4	0.00072483
not	4	0.00072483
overs	4	0.00072483
player	4	0.00072483
playing	4	0.00072483
plays	4	0.00072483
series,	4	0.00072483
successful	4	0.00072483
years	4	0.00072483
'Team	3	0.00036363
10,000	3	0.00036363
1999–2000	3	0.00036363
200	3	0.00036363
2007,	3	0.00036363
2008,	3	0.00036363
2011,	3	0.00036363
2011.	3	0.00036363
2011–2020	3	0.00036363
2015	3	0.00036363
2017	3	0.00036363
2017,	3	0.00036363
2018,	3	0.00036363
2021	3	0.00036363
30	3	0.00036363
5	3	0.00036363
After	3	0.00036363
August	3	0.00036363
Australia.	3	0.00036363
Cup.	3	0.00036363
Cup:	3	0.00036363
England.	3	0.00036363
However,	3	0.00036363
India.	3	0.00036363
Lieutenant	3	0.00036363
ODIs.	3	0.00036363
Parachute	3	0.00036363
Ranchi,	3	0.00036363
Regiment	3	0.00036363
Team	3	0.00036363
Tournament'	3	0.00036363
Twenty20	3	0.00036363
U-19	3	0.00036363
Zealand.	3	0.00036363
Zimbabwe	3	0.00036363
back	3	0.00036363
becoming	3	0.00036363
bilateral	3	0.00036363
born	3	0.00036363
both	3	0.00036363
captaincy,	3	0.00036363
childhood	3	0.00036363
company	3	0.00036363
cricketer	3	0.00036363
cup	3	0.00036363
decade:	3	0.00036363
deliveries	3	0.00036363
did	3	0.00036363
down	3	0.00036363
early	3	0.00036363
effected	3	0.00036363
effecting	3	0.00036363
fifth	3	0.00036363
final.	3	0.00036363
finals,	3	0.00036363
following	3	0.00036363
formats	3	0.00036363
fourth	3	0.00036363
game	3	0.00036363
have	3	0.00036363
himself	3	0.00036363
honour	3	0.00036363
last	3	0.00036363
lead	3	0.00036363
life	3	0.00036363
losing	3	0.00036363
maiden	3	0.00036363
number	3	0.00036363
often	3	0.00036363
overall	3	0.00036363
play	3	0.00036363
popular	3	0.00036363
prolific	3	0.00036363
rank	3	0.00036363
rate	3	0.00036363
released	3	0.00036363
represented	3	0.00036363
run	3	0.00036363
series.	3	0.00036363
seven	3	0.00036363
side	3	0.00036363
six	3	0.00036363
son	3	0.00036363
strike	3	0.00036363
stumping	3	0.00036363
subsequent	3	0.00036363
tests	3	0.00036363
toured	3	0.00036363
tournament.	3	0.00036363
unbeaten	3	0.00036363
well	3	0.00036363
when	3	0.00036363
who	3	0.00036363
wicket	3	0.00036363
wicket-keeper.	3	0.00036363
world	3	0.00036363
year	3	0.00036363
(now	2	0.00033204
139	2	0.00033204
15	2	0.00033204
16	2	0.00033204
2005,	2	0.00033204
2006,	2	0.00033204
2007.	2	0.00033204
2008	2	0.00033204
2008.	2	0.00033204
2012,	2	0.00033204
2013,	2	0.00033204
2015.	2	0.00033204
2016,	2	0.00033204
2019	2	0.00033204
2021,	2	0.00033204
2022,	2	0.00033204
2023	2	0.00033204
29	2	0.00033204
7	2	0.00033204
84	2	0.00033204
97	2	0.00033204
April	2	0.00033204
Assam	2	0.00033204
Australia,	2	0.00033204
Behar	2	0.00033204
Chennai.	2	0.00033204
Cooch	2	0.00033204
Cricketer	2	0.00033204
Deodhar	2	0.00033204
Dhoni.	2	0.00033204
England	2	0.00033204
England,	2	0.00033204
Following	2	0.00033204
Hall	2	0.00033204
Highest	2	0.00033204
His	2	0.00033204
I	2	0.00033204
ICC.	2	0.00033204
IPL.	2	0.00033204
Jadeja	2	0.00033204
June	2	0.00033204
Khel	2	0.00033204
Lanka.	2	0.00033204
League.	2	0.00033204
League:	2	0.00033204
Major	2	0.00033204
Mumbai	2	0.00033204
Rajasthan	2	0.00033204
Rajput	2	0.00033204
Ranchi	2	0.00033204
Ratna	2	0.00033204
Rohit	2	0.00033204
Sachin	2	0.00033204
Second	2	0.00033204
Sharma	2	0.00033204
Supergiants	2	0.00033204
Tamil	2	0.00033204
Third	2	0.00033204
Under	2	0.00033204
While	2	0.00033204
Wisden	2	0.00033204
XI	2	0.00033204
Youth	2	0.00033204
again	2	0.00033204
aggregate	2	0.00033204
ahead	2	0.00033204
announced	2	0.00033204
any	2	0.00033204
appearance	2	0.00033204
auction	2	0.00033204
ball	2	0.00033204
balls	2	0.00033204
balls,	2	0.00033204
batsmen	2	0.00033204
batted	2	0.00033204
be	2	0.00033204
become	2	0.00033204
been	2	0.00033204
broken	2	0.00033204
captain.	2	0.00033204
captained	2	0.00033204
cause.	2	0.00033204
centuries	2	0.00033204
civilian	2	0.00033204
co-owns	2	0.00033204
colonel	2	0.00033204
company.	2	0.00033204
consecutive	2	0.00033204
contract	2	0.00033204
contribution	2	0.00033204
conventional	2	0.00033204
cricket,	2	0.00033204
day	2	0.00033204
defeating	2	0.00033204
developed	2	0.00033204
do	2	0.00033204
domestic	2	0.00033204
duck.	2	0.00033204
due	2	0.00033204
earlier	2	0.00033204
earned	2	0.00033204
ended	2	0.00033204
ever	2	0.00033204
failed	2	0.00033204
family	2	0.00033204
fastest	2	0.00033204
father	2	0.00033204
fifties	2	0.00033204
fifty	2	0.00033204
film	2	0.00033204
football	2	0.00033204
games	2	0.00033204
good	2	0.00033204
got	2	0.00033204
grade	2	0.00033204
had	2	0.00033204
handed	2	0.00033204
helped	2	0.00033204
helping	2	0.00033204
higher	2	0.00033204
house	2	0.00033204
inaugural	2	0.00033204
included	2	0.00033204
into	2	0.00033204
invested	2	0.00033204
known	2	0.00033204
lack	2	0.00033204
leading	2	0.00033204
like	2	0.00033204
make	2	0.00033204
month	2	0.00033204
new	2	0.00033204
nine	2	0.00033204
order	2	0.00033204
parachute	2	0.00033204
part	2	0.00033204
past	2	0.00033204
performance	2	0.00033204
presented	2	0.00033204
produced	2	0.00033204
qualified	2	0.00033204
qualify	2	0.00033204
quarter	2	0.00033204
ranking	2	0.00033204
reached	2	0.00033204
regular	2	0.00033204
retired	2	0.00033204
returned	2	0.00033204
right-handed	2	0.00033204
seasons	2	0.00033204
secure	2	0.00033204
shot	2	0.00033204
shots	2	0.00033204
sixes	2	0.00033204
so.	2	0.00033204
special	2	0.00033204
spelling	2	0.00033204
started	2	0.00033204
stepped	2	0.00033204
stumpings.	2	0.00033204
technique.	2	0.00033204
ten	2	0.00033204
test,	2	0.00033204
this	2	0.00033204
though	2	0.00033204
thousand	2	0.00033204
time	2	0.00033204
time.	2	0.00033204
times	2	0.00033204
titled	2	0.00033204
training	2	0.00033204
tri-nation	2	0.00033204
trophy,	2	0.00033204
unorthodox	2	0.00033204
until	2	0.00033204
wanted	2	0.00033204
wanting	2	0.00033204
washed	2	0.00033204
went	2	0.00033204
wicket-keeper)	2	0.00033204
wicketkeeper	2	0.00033204
win,	2	0.00033204
wins	2	0.00033204
zone	2	0.00033204
"B"	1	0.00008575
"Captain	1	0.00008575
"Dhauni".	1	0.00008575
"Dhoni"	1	0.00008575
"Since	1	0.00008575
$80.3	1	0.00008575
'A'	1	0.00008575
'Thala'	1	0.00008575
'Uninhibited,	1	0.00008575
(1,153)	1	0.00008575
(100*	1	0.00008575
(106	1	0.00008575
(110)	1	0.00008575
(123)	1	0.00008575
(128*)	1	0.00008575
(183*)	1	0.00008575
(195)	1	0.00008575
(200)	1	0.00008575
(2010,	1	0.00008575
(2012),	1	0.00008575
(294)	1	0.00008575
(332)	1	0.00008575
(34)	1	0.00008575
(359)	1	0.00008575
(432)	1	0.00008575
(4876)	1	0.00008575
(5)	1	0.00008575
(51)	1	0.00008575
(6)	1	0.00008575
(6641)	1	0.00008575
(72)	1	0.00008575
(76)	1	0.00008575
(829)	1	0.00008575
(84)	1	0.00008575
(CCL)	1	0.00008575
(CSK)	1	0.00008575
(CSK),	1	0.00008575
(IPL),	1	0.00008575
(IPL).	1	0.00008575
(J282–J286)	1	0.00008575
(JSCA)	1	0.00008575
(MCA)	1	0.00008575
(TTE)	1	0.00008575
(US$1.4	1	0.00008575
(US$1.5	1	0.00008575
([məˈɦeːnd̪ɾə	1	0.00008575
(eight	1	0.00008575
.	1	0.00008575
0.08	1	0.00008575
1,000	1	0.00008575
102	1	0.00008575
102.15,	1	0.00008575
106	1	0.00008575
10773	1	0.00008575
108	1	0.00008575
11	1	0.00008575
114	1	0.00008575
1198	1	0.00008575
122	1	0.00008575
123	1	0.00008575
129	1	0.00008575
134	1	0.00008575
14	1	0.00008575
145	1	0.00008575
146	1	0.00008575
148	1	0.00008575
150	1	0.00008575
17	1	0.00008575
17,266	1	0.00008575
174	1	0.00008575
176	1	0.00008575
177	1	0.00008575
179	1	0.00008575
183	1	0.00008575
19.25.	1	0.00008575
195	1	0.00008575
1981	1	0.00008575
1981)	1	0.00008575
1995	1	0.00008575
1997/98	1	0.00008575
1998	1	0.00008575
1998.	1	0.00008575
1998–99,	1	0.00008575
1999	1	0.00008575
1999.	1	0.00008575
2	1	0.00008575
20-run	1	0.00008575
20.	1	0.00008575
2000/01	1	0.00008575
2000s	1	0.00008575
2000–01	1	0.00008575
2001	1	0.00008575
2001–02	1	0.00008575
2002–03	1	0.00008575
2003,	1	0.00008575
2003/04	1	0.00008575
2004	1	0.00008575
2004,	1	0.00008575
2004.	1	0.00008575
2005	1	0.00008575
2005.	1	0.00008575
2006-07,	1	0.00008575
2006.	1	0.00008575
2008-09	1	0.00008575
2010)	1	0.00008575
2011–2014)	1	0.00008575
2013.	1	0.00008575
2013–14	1	0.00008575
2016.	1	0.00008575
2017-18	1	0.00008575
2019.	1	0.00008575
2020,	1	0.00008575
2022	1	0.00008575
2023)	1	0.00008575
2023,	1	0.00008575
2023.	1	0.00008575
2024	1	0.00008575
2024,	1	0.00008575
2024.	1	0.00008575
2025,	1	0.00008575
219	1	0.00008575
223	1	0.00008575
23	1	0.00008575
23.34.	1	0.00008575
237	1	0.00008575
24	1	0.00008575
244	1	0.00008575
25	1	0.00008575
250th	1	0.00008575
272	1	0.00008575
28	1	0.00008575
283	1	0.00008575
2987	1	0.00008575
2–1	1	0.00008575
3	1	0.00008575
332	1	0.00008575
346	1	0.00008575
350th	1	0.00008575
362	1	0.00008575
38	1	0.00008575
390	1	0.00008575
392	1	0.00008575
3–1	1	0.00008575
4	1	0.00008575
400	1	0.00008575
414	1	0.00008575
43	1	0.00008575
45	1	0.00008575
455	1	0.00008575
48	1	0.00008575
4876	1	0.00008575
488	1	0.00008575
50-plus	1	0.00008575
52	1	0.00008575
574	1	0.00008575
59.25	1	0.00008575
6	1	0.00008575
60	1	0.00008575
63.20	1	0.00008575
634	1	0.00008575
68	1	0.00008575
70	1	0.00008575
70.43	1	0.00008575
72.40	1	0.00008575
7400	1	0.00008575
75	1	0.00008575
77	1	0.00008575
79	1	0.00008575
8	1	0.00008575
8000	1	0.00008575
85	1	0.00008575
87	1	0.00008575
9	1	0.00008575
91*	1	0.00008575
91.	1	0.00008575
;	1	0.00008575
A,	1	0.00008575
ACC	1	0.00008575
Adam	1	0.00008575
Afghanistan	1	0.00008575
Afro-Asia	1	0.00008575
Against	1	0.00008575
Agra	1	0.00008575
Ahead	1	0.00008575
Aiden	1	0.00008575
Air	1	0.00008575
Akila	1	0.00008575
Almanack	1	0.00008575
Andrew	1	0.00008575
Apart	1	0.00008575
Army.	1	0.00008575
Army:	1	0.00008575
At	1	0.00008575
Auckland,	1	0.00008575
Australian	1	0.00008575
Award	1	0.00008575
Award:	1	0.00008575
B.	1	0.00008575
BCCI's	1	0.00008575
BCCI.	1	0.00008575
Banerjee.	1	0.00008575
Banijay	1	0.00008575
Based	1	0.00008575
Bengal	1	0.00008575
Bharat	1	0.00008575
Bhushan	1	0.00008575
Bhushan:	1	0.00008575
Bhuvneshwar	1	0.00008575
Born	1	0.00008575
C.	1	0.00008575
CARS24	1	0.00008575
CCL,	1	0.00008575
CNN-News18	1	0.00008575
Captaincy	1	0.00008575
Career	1	0.00008575
Carlton	1	0.00008575
Castrol	1	0.00008575
Cements	1	0.00008575
Central	1	0.00008575
Chahal.	1	0.00008575
Challenger	1	0.00008575
Chand	1	0.00008575
Chennai-based	1	0.00008575
Chennaiyin	1	0.00008575
Chhattisgarh	1	0.00008575
Choice	1	0.00008575
Club,	1	0.00008575
Coal	1	0.00008575
Colombo,	1	0.00008575
Colonel,	1	0.00008575
Combined	1	0.00008575
Commando	1	0.00008575
Corporate	1	0.00008575
Cover	1	0.00008575
DAV	1	0.00008575
DLF	1	0.00008575
DLS	1	0.00008575
Dananjaya	1	0.00008575
De	1	0.00008575
Debut	1	0.00008575
Dehradun.	1	0.00008575
Delhi.	1	0.00008575
Devaki	1	0.00008575
Devi.	1	0.00008575
Dhoni,	1	0.00008575
Dhoni:	1	0.00008575
Dhyan	1	0.00008575
Dhyanchand	1	0.00008575
Dinesh	1	0.00008575
Disney+	1	0.00008575
Domestic	1	0.00008575
Dowlin	1	0.00008575
Dravid	1	0.00008575
Duff	1	0.00008575
Duleep	1	0.00008575
During	1	0.00008575
ESPNcricinfo	1	0.00008575
Early	1	0.00008575
Eastern	1	0.00008575
Entertainment	1	0.00008575
Examiner	1	0.00008575
External	1	0.00008575
FC,	1	0.00008575
Faisalabad.	1	0.00008575
Fame.	1	0.00008575
Fame:2025	1	0.00008575
Fields	1	0.00008575
Final	1	0.00008575
First	1	0.00008575
Flintoff	1	0.00008575
Franchise	1	0.00008575
From	1	0.00008575
Future	1	0.00008575
G.O.A.T	1	0.00008575
Gaikwad.	1	0.00008575
Gilchrist's	1	0.00008575
Government	1	0.00008575
Gujarat	1	0.00008575
Harare	1	0.00008575
Harry,	1	0.00008575
Hazare	1	0.00008575
Hindu	1	0.00008575
Hockey	1	0.00008575
Honorary	1	0.00008575
Honours	1	0.00008575
Hotstar	1	0.00008575
I'll	1	0.00008575
IPL,	1	0.00008575
Icon	1	0.00008575
Indians	1	0.00008575
Indies.	1	0.00008575
Individual	1	0.00008575
International	1	0.00008575
Ireland	1	0.00008575
It	1	0.00008575
JMM	1	0.00008575
JSCA	1	0.00008575
Jaipur	1	0.00008575
Jammu	1	0.00008575
January	1	0.00008575
Jawahar	1	0.00008575
Jharkhand)	1	0.00008575
Johannesburg.	1	0.00008575
K.	1	0.00008575
Karthik.	1	0.00008575
Kashmir.	1	0.00008575
Keemo	1	0.00008575
Kenya,	1	0.00008575
Kenya.	1	0.00008575
Keshav	1	0.00008575
Kharagpur	1	0.00008575
Kings.	1	0.00008575
Kumar	1	0.00008575
Kumar)	1	0.00008575
LGM	1	0.00008575
Lal.	1	0.00008575
Lanka's	1	0.00008575
Lankan	1	0.00008575
Limited	1	0.00008575
Lion	1	0.00008575
Lions	1	0.00008575
Long-off,	1	0.00008575
Long-on,	1	0.00008575
Ltd,	1	0.00008575
Lwali	1	0.00008575
M.S.	1	0.00008575
MBA	1	0.00008575
MTV	1	0.00008575
Mandir,	1	0.00008575
Mankad	1	0.00008575
March	1	0.00008575
Markram	1	0.00008575
Match	1	0.00008575
May	1	0.00008575
Melbourne,	1	0.00008575
Mid	1	0.00008575
Midwicket	1	0.00008575
Montfort	1	0.00008575
N.	1	0.00008575
Nayudu	1	0.00008575
No.	1	0.00008575
No.7	1	0.00008575
ODI.	1	0.00008575
October	1	0.00008575
October–November	1	0.00008575
Others	1	0.00008575
Outside	1	0.00008575
Pakistan.	1	0.00008575
Pan	1	0.00008575
Para	1	0.00008575
Parthiv	1	0.00008575
Patel	1	0.00008575
Paul.	1	0.00008575
People's	1	0.00008575
Personal	1	0.00008575
Phelps.	1	0.00008575
Playing	1	0.00008575
Post-international	1	0.00008575
Pradesh	1	0.00008575
Prakash	1	0.00008575
President's	1	0.00008575
Pune	1	0.00008575
Rahul	1	0.00008575
Railway	1	0.00008575
Railways.	1	0.00008575
Raj	1	0.00008575
Ranchi-based	1	0.00008575
Ranchi.	1	0.00008575
Ravindra	1	0.00008575
Rawat	1	0.00008575
Rays,	1	0.00008575
Records	1	0.00008575
References	1	0.00008575
Rest	1	0.00008575
Rising	1	0.00008575
Roar	1	0.00008575
Royals,	1	0.00008575
Ruturaj	1	0.00008575
SEVEN	1	0.00008575
Saha	1	0.00008575
Sakshi	1	0.00008575
Sangakkara's	1	0.00008575
Santosh	1	0.00008575
Seeing	1	0.00008575
Series	1	0.00008575
Shaka	1	0.00008575
Shane	1	0.00008575
Shri	1	0.00008575
Shri:	1	0.00008575
Sixth	1	0.00008575
Spirit	1	0.00008575
Sports	1	0.00008575
Srinivasan.	1	0.00008575
Stadium	1	0.00008575
State	1	0.00008575
Story,	1	0.00008575
Subsequently,	1	0.00008575
Sundaresan.	1	0.00008575
Supergiants.	1	0.00008575
Sushant	1	0.00008575
T20Is	1	0.00008575
TA	1	0.00008575
TRDW.	1	0.00008575
Tamil.	1	0.00008575
Tendulkar	1	0.00008575
Tendulkar,	1	0.00008575
Tests	1	0.00008575
Though	1	0.00008575
Though,	1	0.00008575
Ticket	1	0.00008575
Touch:	1	0.00008575
Travelling	1	0.00008575
Travis	1	0.00008575
Trophy.	1	0.00008575
Trophy:	1	0.00008575
Twenty20,	1	0.00008575
Twenty20.	1	0.00008575
US$1.5	1	0.00008575
University	1	0.00008575
Untold	1	0.00008575
Uttar	1	0.00008575
Uttarakhand)	1	0.00008575
Vidya	1	0.00008575
Vijay	1	0.00008575
Vijay's	1	0.00008575
Vinoo	1	0.00008575
Visakhapatnam,	1	0.00008575
Wankhede	1	0.00008575
Watson.	1	0.00008575
Widely	1	0.00008575
With	1	0.00008575
Wriddhiman	1	0.00008575
XI,	1	0.00008575
Yuzvendra	1	0.00008575
Zealand	1	0.00008575
Zealand,	1	0.00008575
Ziva	1	0.00008575
above	1	0.00008575
accordingly.	1	0.00008575
achieve	1	0.00008575
achievements	1	0.00008575
acquired	1	0.00008575
activists	1	0.00008575
adjudged	1	0.00008575
adjust	1	0.00008575
aggregated	1	0.00008575
agreement	1	0.00008575
aircraft	1	0.00008575
ambassador	1	0.00008575
ambassador.	1	0.00008575
among	1	0.00008575
and,	1	0.00008575
another	1	0.00008575
anything	1	0.00008575
appearances	1	0.00008575
appearances.	1	0.00008575
approachability	1	0.00008575
attempts	1	0.00008575
auction.	1	0.00008575
automotive	1	0.00008575
averaged	1	0.00008575
averages	1	0.00008575
averaging	1	0.00008575
award:	1	0.00008575
away	1	0.00008575
away.	1	0.00008575
ban	1	0.00008575
based	1	0.00008575
bat	1	0.00008575
batsman,	1	0.00008575
battalion).	1	0.00008575
batted.	1	0.00008575
batter	1	0.00008575
beating	1	0.00008575
behind	1	0.00008575
between	1	0.00008575
bikes	1	0.00008575
book	1	0.00008575
bottom	1	0.00008575
boundary.	1	0.00008575
bowled	1	0.00008575
bowler	1	0.00008575
business	1	0.00008575
call	1	0.00008575
cameo	1	0.00008575
camp,	1	0.00008575
campaign,	1	0.00008575
captaining	1	0.00008575
captains	1	0.00008575
captains,	1	0.00008575
career,	1	0.00008575
career.	1	0.00008575
cars	1	0.00008575
centuries.	1	0.00008575
century,	1	0.00008575
certificates	1	0.00008575
champions	1	0.00008575
championship.	1	0.00008575
chances	1	0.00008575
chase	1	0.00008575
chase,	1	0.00008575
children.	1	0.00008575
city	1	0.00008575
claim	1	0.00008575
class	1	0.00008575
clear	1	0.00008575
clocked	1	0.00008575
co-hosted	1	0.00008575
co-owner	1	0.00008575
coach	1	0.00008575
coaching	1	0.00008575
collection.	1	0.00008575
compared	1	0.00008575
completed	1	0.00008575
completing	1	0.00008575
conflicting	1	0.00008575
connection	1	0.00008575
content	1	0.00008575
continued	1	0.00008575
contributed	1	0.00008575
cool".	1	0.00008575
cool-headed	1	0.00008575
crashed	1	0.00008575
crashing	1	0.00008575
cricketer,	1	0.00008575
cricketer.	1	0.00008575
cricketers	1	0.00008575
criticised	1	0.00008575
criticism	1	0.00008575
crore	1	0.00008575
crude'.	1	0.00008575
culture	1	0.00008575
cup.	1	0.00008575
damaged	1	0.00008575
daughter,	1	0.00008575
dealt	1	0.00008575
decided	1	0.00008575
dedicating	1	0.00008575
demeanor	1	0.00008575
described	1	0.00008575
despite	1	0.00008575
deviates	1	0.00008575
didn't	1	0.00008575
different	1	0.00008575
directed	1	0.00008575
dismissal	1	0.00008575
dismissing	1	0.00008575
displays	1	0.00008575
division.	1	0.00008575
doctorate	1	0.00008575
documentary	1	0.00008575
draft	1	0.00008575
drama	1	0.00008575
draw.	1	0.00008575
dropped	1	0.00008575
ducks	1	0.00008575
edition	1	0.00008575
effect	1	0.00008575
eight	1	0.00008575
eighteen-year-old	1	0.00008575
eighth	1	0.00008575
emerged	1	0.00008575
emerging	1	0.00008575
enigma	1	0.00008575
ensure	1	0.00008575
entered	1	0.00008575
enthusiast	1	0.00008575
equalled	1	0.00008575
established	1	0.00008575
eventual	1	0.00008575
excellent	1	0.00008575
expensive	1	0.00008575
family,	1	0.00008575
family.	1	0.00008575
fans	1	0.00008575
farmhouse	1	0.00008575
fast	1	0.00008575
feature	1	0.00008575
fellow	1	0.00008575
few	1	0.00008575
field	1	0.00008575
fifties,	1	0.00008575
fighting	1	0.00008575
film,	1	0.00008575
finals	1	0.00008575
finals.	1	0.00008575
finishing	1	0.00008575
firm	1	0.00008575
first-class	1	0.00008575
followed	1	0.00008575
followed,	1	0.00008575
followed.	1	0.00008575
followers	1	0.00008575
force	1	0.00008575
formally	1	0.00008575
format.	1	0.00008575
formats.	1	0.00008575
former	1	0.00008575
four-ball	1	0.00008575
franchises	1	0.00008575
friend	1	0.00008575
full-length	1	0.00008575
gaining	1	0.00008575
genres.	1	0.00008575
goalkeeper,	1	0.00008575
grip	1	0.00008575
hailed	1	0.00008575
half-centuries	1	0.00008575
handle,	1	0.00008575
hard-hitting	1	0.00008575
having	1	0.00008575
helicopter	1	0.00008575
high-pressure	1	0.00008575
him.	1	0.00008575
history	1	0.00008575
history.	1	0.00008575
hit	1	0.00008575
hitter	1	0.00008575
hitting	1	0.00008575
hockey	1	0.00008575
hook	1	0.00008575
hosts	1	0.00008575
identical	1	0.00008575
identified	1	0.00008575
illustrates	1	0.00008575
include	1	0.00008575
individual	1	0.00008575
inducted	1	0.00008575
initiative	1	0.00008575
injured	1	0.00008575
injury.	1	0.00008575
innings,	1	0.00008575
innings.	1	0.00008575
interests	1	0.00008575
international,	1	0.00008575
involving	1	0.00008575
jersey	1	0.00008575
join	1	0.00008575
jointly	1	0.00008575
jumps	1	0.00008575
keeper	1	0.00008575
key	1	0.00008575
knock	1	0.00008575
language	1	0.00008575
later,	1	0.00008575
later.	1	0.00008575
latter	1	0.00008575
launched	1	0.00008575
leader	1	0.00008575
leader.	1	0.00008575
league	1	0.00008575
league.	1	0.00008575
length	1	0.00008575
lifestyle	1	0.00008575
line	1	0.00008575
links	1	0.00008575
list-A	1	0.00008575
lives	1	0.00008575
long-term	1	0.00008575
loss	1	0.00008575
loss.	1	0.00008575
losses	1	0.00008575
lower-order	1	0.00008575
making	1	0.00008575
man	1	0.00008575
managing	1	0.00008575
manuals	1	0.00008575
marked	1	0.00008575
marred	1	0.00008575
married	1	0.00008575
match,	1	0.00008575
matches,	1	0.00008575
meaning	1	0.00008575
media	1	0.00008575
mediocre	1	0.00008575
member	1	0.00008575
men	1	0.00008575
mentor	1	0.00008575
method	1	0.00008575
middle	1	0.00008575
milestone	1	0.00008575
million)	1	0.00008575
million).	1	0.00008575
missed	1	0.00008575
mistake	1	0.00008575
monicker	1	0.00008575
months.	1	0.00008575
moved	1	0.00008575
multiple	1	0.00008575
nation	1	0.00008575
never	1	0.00008575
non-Australian	1	0.00008575
not-outs	1	0.00008575
occasions	1	0.00008575
one-day	1	0.00008575
opportunity	1	0.00008575
other	1	0.00008575
out.	1	0.00008575
outside	1	0.00008575
owned	1	0.00008575
